 (-0.00992459,0)     (0.024387,0)    (0.0588619,0)    (0.0935248,0)     (0.128357,0)      (0.16334,0)     (0.198468,0)     (0.233693,0)     (0.268983,0)     (0.304324,0)     (0.339643,0)     (0.374909,0)     (0.410033,0)     (0.444938,0)     (0.479578,0)     (0.513822,0)     (0.547619,0)     (0.580821,0)     (0.613355,0)     (0.645069,0)     (0.675871,0)     (0.705614,0)     (0.734159,0)     (0.761378,0)      (0.78713,0)     (0.811279,0)     (0.833676,0)     (0.854164,0)     (0.872618,0)     (0.888891,0)     (0.902845,0)      (0.91436,0)
    (0.923291,0)     (0.929521,0)      (0.93297,0)     (0.933517,0)     (0.931074,0)     (0.925586,0)     (0.916942,0)     (0.905143,0)      (0.89015,0)     (0.871922,0)     (0.850476,0)     (0.825835,0)     (0.798036,0)     (0.767121,0)     (0.733178,0)     (0.696322,0)     (0.656646,0)     (0.614292,0)     (0.569426,0)     (0.522212,0)     (0.472854,0)     (0.421571,0)     (0.368576,0)     (0.314108,0)     (0.258444,0)     (0.201867,0)      (0.14465,0)    (0.0871001,0)    (0.0295096,0)   (-0.0278094,0)   (-0.0845194,0)    (-0.140314,0)
   (-0.194864,0)    (-0.247851,0)    (-0.298966,0)    (-0.347905,0)    (-0.394373,0)    (-0.438071,0)    (-0.478733,0)    (-0.516084,0)    (-0.549895,0)    (-0.579928,0)    (-0.605992,0)    (-0.627903,0)    (-0.645502,0)    (-0.658679,0)    (-0.667328,0)    (-0.671391,0)    (-0.670821,0)    (-0.665624,0)    (-0.655796,0)    (-0.641415,0)     (-0.62254,0)    (-0.599318,0)    (-0.571873,0)    (-0.540388,0)    (-0.505062,0)    (-0.466112,0)    (-0.423811,0)    (-0.378425,0)    (-0.330266,0)     (-0.27964,0)    (-0.226878,0)    (-0.172332,0)
   (-0.116356,0)   (-0.0593208,0)   (-0.0015812,0)    (0.0565042,0)     (0.114533,0)     (0.172153,0)     (0.228994,0)     (0.284709,0)     (0.338968,0)     (0.391452,0)     (0.441861,0)     (0.489912,0)     (0.535331,0)     (0.577899,0)     (0.617403,0)     (0.653673,0)      (0.68657,0)     (0.715947,0)     (0.741745,0)     (0.763918,0)     (0.782437,0)     (0.797299,0)     (0.808582,0)     (0.816334,0)     (0.820683,0)     (0.821745,0)     (0.819705,0)      (0.81474,0)     (0.807049,0)     (0.796912,0)     (0.784542,0)     (0.770191,0)
    (0.754165,0)     (0.736766,0)     (0.718249,0)     (0.698966,0)     (0.679207,0)     (0.659228,0)     (0.639365,0)     (0.619894,0)     (0.601076,0)     (0.583185,0)     (0.566455,0)      (0.55112,0)     (0.537362,0)     (0.525375,0)       (0.5153,0)     (0.507251,0)     (0.501319,0)     (0.497585,0)     (0.496099,0)     (0.496836,0)     (0.499786,0)     (0.504875,0)     (0.512049,0)     (0.521165,0)      (0.53208,0)     (0.544632,0)     (0.558632,0)     (0.573862,0)     (0.590105,0)     (0.607086,0)      (0.62455,0)     (0.642195,0)
    (0.659752,0)     (0.676911,0)     (0.693402,0)     (0.708916,0)      (0.72316,0)     (0.735853,0)      (0.74671,0)     (0.755459,0)     (0.761858,0)     (0.765659,0)     (0.766664,0)     (0.764687,0)      (0.75956,0)     (0.751169,0)     (0.739382,0)     (0.724126,0)     (0.705339,0)     (0.683017,0)      (0.65719,0)     (0.627909,0)     (0.595222,0)     (0.559259,0)     (0.520167,0)     (0.478114,0)       (0.4333,0)     (0.385934,0)     (0.336272,0)     (0.284602,0)     (0.231198,0)     (0.176386,0)     (0.120475,0)    (0.0637797,0)
  (0.00664837,0)   (-0.0505647,0)    (-0.107537,0)    (-0.163919,0)    (-0.219366,0)    (-0.273547,0)    (-0.326149,0)    (-0.376865,0)    (-0.425411,0)    (-0.471534,0)    (-0.514996,0)    (-0.555547,0)    (-0.593014,0)    (-0.627231,0)    (-0.658078,0)    (-0.685435,0)    (-0.709242,0)    (-0.729448,0)    (-0.746062,0)    (-0.759118,0)    (-0.768664,0)    (-0.774788,0)    (-0.777606,0)    (-0.777306,0)    (-0.774022,0)    (-0.767974,0)    (-0.759387,0)    (-0.748524,0)    (-0.735624,0)    (-0.720978,0)    (-0.704896,0)    (-0.687655,0)
   (-0.669571,0)    (-0.650964,0)    (-0.632114,0)    (-0.613357,0)    (-0.594989,0)    (-0.577273,0)    (-0.560509,0)    (-0.544939,0)    (-0.530802,0)    (-0.518331,0)    (-0.507711,0)    (-0.499099,0)    (-0.492626,0)    (-0.488407,0)    (-0.486527,0)    (-0.487028,0)    (-0.489943,0)    (-0.495212,0)    (-0.502797,0)    (-0.512609,0)    (-0.524554,0)    (-0.538453,0)    (-0.554152,0)    (-0.571444,0)      (-0.5901,0)    (-0.609866,0)    (-0.630466,0)    (-0.651629,0)    (-0.673045,0)    (-0.694402,0)    (-0.715371,0)    (-0.735632,0)
   (-0.754852,0)    (-0.772711,0)    (-0.788892,0)    (-0.803089,0)    (-0.814989,0)     (-0.82433,0)    (-0.830846,0)    (-0.834301,0)    (-0.834487,0)    (-0.831211,0)    (-0.824321,0)    (-0.813679,0)    (-0.799199,0)    (-0.780834,0)    (-0.758546,0)    (-0.732357,0)    (-0.702329,0)    (-0.668551,0)    (-0.631138,0)    (-0.590251,0)    (-0.546085,0)    (-0.498866,0)    (-0.448836,0)    (-0.396284,0)     (-0.34153,0)    (-0.284905,0)     (-0.22676,0)    (-0.167471,0)    (-0.107405,0)   (-0.0469637,0)    (0.0134251,0)    (0.0733676,0)
    (0.132457,0)     (0.190298,0)     (0.246486,0)     (0.300644,0)     (0.352398,0)     (0.401384,0)     (0.447282,0)      (0.48976,0)     (0.528558,0)     (0.563401,0)      (0.59407,0)     (0.620344,0)     (0.642088,0)     (0.659157,0)     (0.671462,0)     (0.678941,0)     (0.681583,0)      (0.67938,0)     (0.672394,0)     (0.660686,0)     (0.644383,0)     (0.623637,0)       (0.5986,0)     (0.569489,0)     (0.536522,0)     (0.499943,0)     (0.460023,0)     (0.417048,0)     (0.371304,0)     (0.323116,0)     (0.272816,0)     (0.220706,0)
